Estimations_SA1_h8_R100_  1,Estimations_SA1_h8_R100_  2,Estimations_SA1_h8_R100_  3,Estimations_SA1_h8_R100_  4,Estimations_SA1_h8_R100_  5,Estimations_SA1_h8_R100_  6,Estimations_SA1_h8_R100_  7,Estimations_SA1_h8_R100_  8,Estimations_SA1_h8_R100_  9,Estimations_SA1_h8_R100_ 10,Estimations_SA1_h8_R100_ 11,Estimations_SA1_h8_R100_ 12,Estimations_SA1_h8_R100_ 13,Estimations_SA1_h8_R100_ 14,Estimations_SA1_h8_R100_ 15,Estimations_SA1_h8_R100_ 16,Estimations_SA1_h8_R100_ 17,Estimations_SA1_h8_R100_ 18,Estimations_SA1_h8_R100_ 19,Estimations_SA1_h8_R100_ 20,Estimations_SA1_h8_R100_ 21,Estimations_SA1_h8_R100_ 22,Estimations_SA1_h8_R100_ 23,Estimations_SA1_h8_R100_ 24,Estimations_SA1_h8_R100_ 25,Estimations_SA1_h8_R100_ 26,Estimations_SA1_h8_R100_ 27,Estimations_SA1_h8_R100_ 28,Estimations_SA1_h8_R100_ 29,Estimations_SA1_h8_R100_ 30,Estimations_SA1_h8_R100_ 31,Estimations_SA1_h8_R100_ 32,Estimations_SA1_h8_R100_ 33,Estimations_SA1_h8_R100_ 34,Estimations_SA1_h8_R100_ 35,Estimations_SA1_h8_R100_ 36,Estimations_SA1_h8_R100_ 37,Estimations_SA1_h8_R100_ 38,Estimations_SA1_h8_R100_ 39,Estimations_SA1_h8_R100_ 40,Estimations_SA1_h8_R100_ 41,Estimations_SA1_h8_R100_ 42,Estimations_SA1_h8_R100_ 43,Estimations_SA1_h8_R100_ 44,Estimations_SA1_h8_R100_ 45,Estimations_SA1_h8_R100_ 46,Estimations_SA1_h8_R100_ 47,Estimations_SA1_h8_R100_ 48,Estimations_SA1_h8_R100_ 49,Estimations_SA1_h8_R100_ 50,Estimations_SA1_h8_R100_ 51,Estimations_SA1_h8_R100_ 52,Estimations_SA1_h8_R100_ 53,Estimations_SA1_h8_R100_ 54,Estimations_SA1_h8_R100_ 55,Estimations_SA1_h8_R100_ 56,Estimations_SA1_h8_R100_ 57,Estimations_SA1_h8_R100_ 58,Estimations_SA1_h8_R100_ 59,Estimations_SA1_h8_R100_ 60,Estimations_SA1_h8_R100_ 61,Estimations_SA1_h8_R100_ 62,Estimations_SA1_h8_R100_ 63,Estimations_SA1_h8_R100_ 64,Estimations_SA1_h8_R100_ 65,Estimations_SA1_h8_R100_ 66,Estimations_SA1_h8_R100_ 67,Estimations_SA1_h8_R100_ 68,Estimations_SA1_h8_R100_ 69,Estimations_SA1_h8_R100_ 70,Estimations_SA1_h8_R100_ 71,Estimations_SA1_h8_R100_ 72,Estimations_SA1_h8_R100_ 73,Estimations_SA1_h8_R100_ 74,Estimations_SA1_h8_R100_ 75,Estimations_SA1_h8_R100_ 76,Estimations_SA1_h8_R100_ 77,Estimations_SA1_h8_R100_ 78,Estimations_SA1_h8_R100_ 79,Estimations_SA1_h8_R100_ 80,Estimations_SA1_h8_R100_ 81,Estimations_SA1_h8_R100_ 82,Estimations_SA1_h8_R100_ 83,Estimations_SA1_h8_R100_ 84,Estimations_SA1_h8_R100_ 85,Estimations_SA1_h8_R100_ 86,Estimations_SA1_h8_R100_ 87,Estimations_SA1_h8_R100_ 88,Estimations_SA1_h8_R100_ 89,Estimations_SA1_h8_R100_ 90,Estimations_SA1_h8_R100_ 91,Estimations_SA1_h8_R100_ 92,Estimations_SA1_h8_R100_ 93,Estimations_SA1_h8_R100_ 94,Estimations_SA1_h8_R100_ 95,Estimations_SA1_h8_R100_ 96,Estimations_SA1_h8_R100_ 97,Estimations_SA1_h8_R100_ 98,Estimations_SA1_h8_R100_ 99,Estimations_SA1_h8_R100_100,Estimations_SA1_h8_R100_101
10745,9799,9970,10742,10137,10429,10832,9816,10320,10472,9962,10980,11226,10509,10716,10419,10282,10584,11891,10768,9782,9879,10785,11572,11245,9650,10580,11180,11042,10648,11728,9390,9811,9942,9799,10309,10178,9322,10385,10493,9488,10784,10198,9983,10358,10135,9664,10746,10416,10575,10729,10165,10809,10641,10630,10853,10505,11161,9309,11285,10361,10088,9542,11429,9861,10907,11071,9746,9967,10373,9841,9809,10731,10570,10763,10056,11113,9706,10080,10426,10498,11127,10761,10613,9891,10202,10216,10267,10752,10452,9998,9430,10659,9425,9304,9831,10542,11433,11310,10742,9765
10748,9837,9991,10807,10145,10515,10906,9817,10352,10475,9987,11062,11388,10547,10719,10478,10344,10587,11961,10930,9810,9908,10889,11821,11341,9734,10619,11205,11056,10655,11810,9407,9930,9995,9831,10395,10287,9363,10407,10544,9512,10869,10244,10097,10411,10159,9685,10761,10547,10678,10754,10272,10823,10651,10668,10948,10505,11250,9323,11352,10421,10209,9676,11437,9873,11013,11128,9817,9994,10463,9845,9852,10768,10642,10819,10105,11192,9738,10102,10450,10631,11267,10887,10617,9931,10214,10250,10354,10841,10467,10123,9535,10665,9522,9408,9831,10587,11504,11385,10776,9767
10764,9841,9993,10850,10184,10622,10994,9905,10415,10504,10022,11139,11544,10573,10766,10515,10344,10634,12094,11041,9904,9912,10980,12004,11406,9861,10634,11261,11079,10671,11897,9433,10018,10081,9842,10410,10348,9368,10407,10547,9519,11015,10250,10279,10510,10172,9774,10773,10621,11143,10822,10390,10840,10657,10703,11009,10557,11276,9348,11358,10495,10337,9868,11465,9994,11067,11213,9837,10085,10513,9860,9868,10806,10659,10995,10141,11251,9762,10132,10454,10746,11422,10972,10629,9944,10231,10252,10436,10899,10473,10182,9646,10711,9552,9495,9871,10629,11564,11448,10811,9801
10822,9854,10010,10887,10290,10684,11016,10040,10460,10509,10042,11159,11631,10577,10848,10541,10353,10641,12242,11102,10013,9953,11074,12123,11416,10035,10684,11335,11178,10714,11952,9440,10097,10208,9873,10425,10367,9388,10434,10799,9556,11131,10301,10427,10605,10288,9863,10833,10668,11298,10911,10504,10902,10726,10787,11011,10564,11306,9359,11391,10558,10395,9989,11501,10091,11070,11338,9865,10213,10560,9878,9886,10856,10675,11132,10191,11292,9791,10155,10462,10760,11453,11023,10714,9945,10261,10297,10469,10958,10546,10199,9698,10841,9582,9586,9875,10667,11576,11534,10862,9841
10914,9860,10028,10898,10395,10684,11018,10196,10513,10586,10056,11166,11695,10587,10861,10609,10398,10650,12393,11209,10044,9964,11190,12128,11424,10158,10774,11406,11259,10719,11983,9442,10183,10351,9898,10471,10370,9440,10467,10997,9654,11230,10368,10548,10638,10342,9929,10881,10729,11433,10947,10615,10967,10763,10872,11057,10567,11329,9400,11424,10592,10571,10110,11522,10177,11087,11458,9870,10300,10561,9887,9970,10937,10680,11258,10222,11352,9805,10202,10494,10791,11541,11066,10788,9982,10269,10390,10577,10988,10561,10284,9733,10876,9659,9692,9885,10704,11627,11587,10916,9897
11036,9887,10067,10950,10453,10715,11069,10294,10525,10769,10116,11206,11751,10631,10886,10651,10457,10665,12564,11256,10074,10240,11282,12149,11440,10279,10850,11489,11339,10738,12003,9468,10247,10509,9975,10528,10486,9467,10556,11129,9793,11344,10424,10662,10641,10374,9932,10950,10796,11509,11001,10660,11032,10808,10886,11138,10627,11335,9653,11497,10608,10631,10209,11581,10264,11098,11527,9919,10321,10573,9926,10067,10998,10711,11317,10240,11419,9816,10260,10553,10799,11674,11111,10794,9993,10320,10513,10672,10997,10627,10367,9748,10960,9694,9847,9893,10787,11691,11622,10963,9920
11189,9923,10128,11033,10495,10767,11139,10383,10547,11006,10123,11234,11779,10667,10944,10655,10610,10792,12681,11363,10182,10360,11353,12161,11462,10347,10897,11618,11350,10769,12097,9513,10282,10690,10027,10653,10644,9500,10627,11224,9955,11454,10445,10728,10690,10434,10075,10964,10875,11530,11029,10675,11069,10814,10901,11426,10719,11386,9819,11595,10631,10656,10279,11624,10331,11108,11556,9962,10369,10609,9980,10133,11077,10724,11320,10318,11453,9839,10439,10570,10865,11812,11124,10858,9995,10368,10677,10723,11005,10667,10401,9788,11076,9730,10015,9951,10864,11747,11655,10971,9954
11278,9960,10146,11109,10565,10779,11153,10441,10590,11062,10201,11251,11798,10682,11028,10673,10722,10904,12683,11441,10292,10404,11375,12204,11472,10395,10929,11705,11355,10822,12149,9613,10289,10833,10100,10699,10732,9527,10678,11332,10015,11533,10473,10853,10718,10546,10197,11027,10989,11544,11215,10708,11074,10854,10930,11572,10787,11468,9939,11689,10661,10678,10375,11692,10430,11156,11620,10067,10377,10636,10008,10146,11110,10789,11324,10367,11477,9914,10548,10572,10904,11846,11142,10937,10005,10374,10843,10776,11049,10766,10414,9841,11270,9798,10137,10032,10890,11815,11681,10979,10001
11362,9988,10191,11195,10649,10791,11295,10444,10644,11080,10310,11264,11845,10708,11249,10690,10816,10999,12693,11493,10397,10432,11386,12321,11492,10424,11003,11738,11402,10942,12155,9633,10302,10990,10121,10702,10787,9578,10713,11436,10153,11539,10499,10994,10777,10650,10253,11048,11082,11597,11270,10784,11116,10914,10983,11591,10857,11533,10060,11790,10693,10753,10490,11726,10505,11208,11676,10187,10438,10663,10058,10165,11139,10841,11335,10494,11591,10040,10635,10616,10947,11859,11172,11064,10024,10460,10973,10825,11093,10884,10430,10001,11427,9875,10240,10085,10927,12046,11751,10998,10134
11389,10026,10234,11262,10726,10826,11434,10468,10697,11166,10450,11265,11863,10709,11471,10745,10949,11075,12707,11532,10452,10497,11410,12445,11543,10446,11063,11755,11494,11022,12240,9646,10344,11078,10144,10709,10828,9671,10748,11485,10275,11560,10545,11154,10865,10774,10297,11054,11159,11646,11327,10864,11161,10961,11043,11645,10901,11616,10196,11798,10719,10810,10554,11774,10553,11256,11700,10328,10490,10674,10084,10372,11140,10854,11374,10570,11694,10112,10687,10632,10956,11908,11175,11089,10053,10527,11071,10866,11128,10981,10444,10132,11528,9941,10310,10088,11045,12210,11808,11016,10271
11407,10042,10239,11291,10776,10923,11609,10482,10792,11250,10501,11286,11898,10962,11642,10837,11092,11120,12720,11560,10465,10590,11422,12552,11617,10468,11122,11837,11506,11056,12336,9728,10351,11150,10199,10725,10887,9793,10811,11489,10340,11760,10609,11347,10890,10833,10310,11056,11221,11658,11343,10983,11252,11073,11049,11805,10985,11658,10345,11914,10731,10813,10562,11813,10628,11264,11800,10420,10493,10727,10089,10501,11187,10876,11378,10699,11817,10176,10722,10703,10958,11927,11188,11109,10054,10551,11100,10925,11176,10982,10457,10150,11636,9975,10346,10130,11133,12308,11861,11029,10426
11416,10161,10296,11303,10819,11048,11757,10501,10912,11343,10582,11334,11962,11135,11929,10971,11157,11151,12760,11613,10470,10616,11436,12624,11651,10472,11132,11864,11562,11059,12424,9795,10425,11150,10260,10727,10955,9839,10905,11500,10347,11922,10733,11462,10920,10849,10356,11059,11233,11673,11420,11015,11361,11170,11067,11966,11098,11694,10389,12055,10767,10848,10568,11929,10640,11295,11875,10445,10509,10773,10094,10648,11254,10880,11414,10777,11846,10235,10752,10764,11211,11967,11203,11113,10097,10572,11118,10967,11199,11108,10476,10220,11713,10025,10377,10148,11219,12459,11943,11072,10569
11451,10225,10308,11335,10887,11384,11896,10522,10982,11415,10604,11370,12040,11214,12139,11084,11196,11194,12787,11650,10482,10630,11557,12713,11681,10482,11182,11936,11641,11119,12476,9860,10498,11153,10336,10734,10998,9919,11028,11513,10393,11947,10887,11554,10967,10919,10376,11144,11275,11705,11507,11027,11453,11237,11191,12109,11195,11731,10485,12214,10834,10958,10752,12050,10651,11302,11917,10522,10526,10788,10125,10727,11351,10923,11527,10805,11880,10343,10787,10832,11397,12075,11231,11138,10173,10591,11138,11014,11257,11269,10528,10318,11806,10051,10454,10172,11303,12551,11994,11088,10680
11467,10300,10345,11391,10964,11594,11965,10571,11023,11465,10655,11455,12083,11226,12306,11197,11236,11202,12866,11675,10505,10648,11607,12838,11697,10488,11234,12046,11696,11126,12527,9872,10526,11165,10393,10741,11000,9969,11110,11555,10436,11988,11027,11643,11046,10980,10415,11166,11288,11741,11582,11075,11753,11244,11279,12192,11299,11754,10537,12338,10894,11047,10872,12213,10660,11320,11934,10664,10569,10795,10171,10789,11471,10979,11645,10921,11889,10469,10837,10901,11512,12176,11255,11165,10268,10779,11175,11134,11308,11377,10547,10414,11828,10053,10546,10233,11352,12568,12079,11110,10750
11487,10337,10450,11465,11014,11731,12050,10577,11144,11516,10729,11561,12096,11234,12400,11252,11240,11210,12943,11696,10546,10670,11617,12916,11724,10507,11260,12144,11729,11135,12627,9918,10541,11192,10404,10752,11015,10043,11136,11627,10525,12001,11109,11718,11114,11056,10449,11263,11295,11763,11656,11129,11929,11498,11352,12214,11317,11807,10602,12413,10899,11085,10935,12393,10667,11506,11952,10795,10621,10851,10183,10798,11531,11070,11739,11033,11894,10556,10849,10912,11589,12306,11259,11233,10394,10956,11261,11207,11354,11386,10556,10420,11846,10095,10549,10336,11445,12626,12106,11176,10824
11502,10399,10522,11500,11075,11820,12133,10612,11269,11532,10824,11679,12132,11272,12457,11252,11259,11252,12983,11700,10575,10740,11706,12989,11793,10539,11275,12167,11734,11185,12734,9968,10598,11202,10411,10819,11087,10141,11148,11769,10628,12007,11177,11868,11201,11057,10555,11350,11338,11783,11661,11176,12006,11706,11375,12273,11346,11898,10661,12488,10927,11089,10957,12535,10674,11657,12010,10901,10633,10877,10199,10800,11562,11118,11821,11109,11999,10600,10867,10932,11706,12392,11311,11280,10454,11119,11340,11268,11361,11502,10570,10454,11878,10153,10606,10419,11447,12720,12120,11291,10866
11502,10534,10546,11556,11101,11907,12223,10623,11351,11572,10829,11820,12159,11277,12578,11336,11278,11284,13125,11721,10580,10804,11770,13059,11875,10547,11338,12217,11793,11239,12797,9974,10647,11239,10447,10863,11160,10219,11289,11893,10699,12041,11214,12007,11285,11085,10724,11352,11398,11864,11672,11210,12068,11832,11382,12294,11352,12020,10683,12489,10942,11130,10983,12607,10711,11797,12028,10930,10651,10893,10243,10804,11568,11121,11824,11134,12064,10636,10887,10970,11888,12411,11393,11579,10473,11215,11408,11320,11393,11667,10584,10507,11900,10194,10662,10459,11516,12772,12151,11375,10973
11554,10678,10583,11846,11158,11986,12376,10629,11416,11615,10881,11936,12195,11335,12654,11417,11317,11336,13288,11950,10603,10855,11830,13153,11904,10548,11416,12264,11813,11302,12812,10013,10667,11323,10482,10920,11248,10253,11427,11980,10720,12100,11268,12145,11412,11120,10903,11371,11692,11959,11691,11213,12157,11897,11392,12345,11380,12132,10746,12525,10948,11190,11091,12674,10748,11891,12085,10947,10695,10980,10265,10822,11578,11138,11956,11137,12085,10665,10905,10999,12092,12416,11468,11788,10473,11347,11436,11335,11456,11848,10652,10510,11989,10226,10709,10531,11578,12791,12188,11418,11088
11567,10851,10687,12119,11209,12118,12677,10685,11455,11697,10991,12006,12218,11432,12763,11505,11430,11388,13396,12100,10645,10877,11933,13267,11910,10555,11429,12283,11821,11339,12824,10023,10704,11654,10521,11050,11366,10283,11573,12076,10767,12142,11278,12268,11472,11198,11023,11389,11931,12058,11744,11223,12291,11936,11435,12359,11584,12158,10815,12603,10988,11218,11272,12677,10801,12040,12107,10965,10706,11092,10283,10857,11593,11161,12059,11141,12088,10675,11084,11094,12224,12423,11543,11905,10487,11451,11467,11399,11466,11985,10666,10533,12073,10232,10717,10622,11682,12824,12218,11441,11171
11576,10958,10690,12346,11248,12294,12890,10767,11508,11747,11188,12073,12286,11541,12840,11527,11487,11390,13528,12209,10692,10982,12006,13363,12020,10599,11457,12330,11878,11417,12886,10026,10988,11917,10610,11182,11457,10311,11714,12140,10813,12154,11290,12377,11500,11262,11083,11434,12037,12102,11817,11243,12409,11992,11469,12403,11689,12240,10875,12639,11029,11240,11445,12698,10836,12196,12137,10990,10718,11217,10306,10884,11594,11172,12123,11168,12122,10714,11172,11182,12308,12481,11580,12018,10651,11529,11516,11494,11484,12163,10667,10566,12085,10270,10752,10742,11769,12825,12245,11481,11216
11619,11098,10733,12412,11250,12516,12982,10860,11748,11748,11371,12129,12415,11737,12876,11570,11553,11415,13652,12272,10705,11105,12088,13420,12088,10659,11466,12409,12029,11550,12920,10101,11172,12098,10779,11311,11579,10337,11812,12234,10822,12160,11325,12491,11524,11358,11131,11545,12097,12117,11884,11258,12523,12068,11471,12496,11701,12356,10975,12682,11077,11285,11625,12713,10875,12333,12213,11049,10721,11337,10321,10932,11623,11379,12137,11227,12151,10734,11232,11327,12312,12527,11608,12148,10732,11652,11553,11606,11569,12320,10670,10592,12183,10302,10785,10834,11775,12827,12272,11532,11275
11654,11210,10788,12468,11270,12728,13003,10919,11904,11769,11534,12173,12616,11890,12910,11576,11575,11465,13707,12327,10729,11231,12141,13439,12163,10709,11470,12428,12102,11674,12973,10186,11284,12216,10978,11360,11697,10345,11873,12326,10832,12180,11328,12608,11541,11416,11146,11626,12181,12159,11937,11271,12636,12192,11473,12518,11782,12450,11042,12868,11168,11306,11707,12721,10893,12433,12333,11067,10731,11347,10517,10968,11696,11576,12147,11236,12212,10803,11289,11453,12317,12552,11636,12296,10788,11698,11632,11674,11573,12425,10696,10614,12289,10345,10832,10874,11820,12903,12277,11814,11325
11690,11291,10893,12609,11307,12867,13037,10948,11998,11776,11628,12242,12828,12018,12941,11607,11655,11528,13710,12355,10749,11357,12203,13461,12166,10733,11485,12438,12135,11806,13009,10259,11336,12307,11126,11440,11803,10354,11896,12396,10840,12212,11365,12706,11576,11434,11161,11665,12250,12239,12011,11286,12781,12343,11507,12537,11825,12506,11105,12995,11259,11381,11736,12760,10897,12528,12451,11073,10777,11361,10680,11020,11776,11706,12174,11313,12231,10830,11406,11509,12317,12559,11706,12428,10833,11735,11713,11720,11598,12484,10715,10662,12414,10434,10846,10881,11872,12978,12284,12001,11339
